LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
14m         Normal    Scheduled           pod/coredns-578d4f8ffc-r2wpl                         Successfully assigned kube-system/coredns-578d4f8ffc-r2wpl to k8s-control-1
14m         Normal    Pulled              pod/coredns-578d4f8ffc-r2wpl                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
14m         Normal    Created             pod/coredns-578d4f8ffc-r2wpl                         Created container: coredns
14m         Normal    Started             pod/coredns-578d4f8ffc-r2wpl                         Started container coredns
25m         Normal    Scheduled           pod/coredns-578d4f8ffc-wfqsn                         Successfully assigned kube-system/coredns-578d4f8ffc-wfqsn to k8s-control-1
24m         Normal    Pulled              pod/coredns-578d4f8ffc-wfqsn                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
24m         Normal    Created             pod/coredns-578d4f8ffc-wfqsn                         Created container: coredns
24m         Normal    Started             pod/coredns-578d4f8ffc-wfqsn                         Started container coredns
24m         Warning   Unhealthy           pod/coredns-578d4f8ffc-wfqsn                         Readiness probe failed: Get "http://172.16.0.229:8181/ready": dial tcp 172.16.0.229:8181: connect: connection refused
23m         Normal    Killing             pod/coredns-578d4f8ffc-wfqsn                         Stopping container coredns
86m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-jtr8r
86m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-58ksp
25m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-9gd2x
25m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-wfqsn
23m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-r2wpl
23m         Normal    SuccessfulCreate    replicaset/coredns-578d4f8ffc                        Created pod: coredns-578d4f8ffc-7khnw
86m         Normal    ScalingReplicaSet   deployment/coredns                                   Scaled up replica set coredns-578d4f8ffc from 0 to 2
82m         Normal    Scheduled           pod/descheduler-29035922-gd2dr                       Successfully assigned kube-system/descheduler-29035922-gd2dr to k8s-control-1
82m         Normal    Pulling             pod/descheduler-29035922-gd2dr                       Pulling image "registry.k8s.io/descheduler/descheduler:v0.31.0"
81m         Normal    Pulled              pod/descheduler-29035922-gd2dr                       Successfully pulled image "registry.k8s.io/descheduler/descheduler:v0.31.0" in 29.604s (29.604s including waiting). Image size: 37500279 bytes.
81m         Normal    Created             pod/descheduler-29035922-gd2dr                       Created container: descheduler
81m         Normal    Started             pod/descheduler-29035922-gd2dr                       Started container descheduler
82m         Normal    SuccessfulCreate    job/descheduler-29035922                             Created pod: descheduler-29035922-gd2dr
81m         Normal    Completed           job/descheduler-29035922                             Job completed
80m         Normal    Scheduled           pod/descheduler-29035924-56b5c                       Successfully assigned kube-system/descheduler-29035924-56b5c to k8s-control-1
79m         Normal    Pulled              pod/descheduler-29035924-56b5c                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
79m         Normal    Created             pod/descheduler-29035924-56b5c                       Created container: descheduler
79m         Normal    Started             pod/descheduler-29035924-56b5c                       Started container descheduler
79m         Warning   Unhealthy           pod/descheduler-29035924-56b5c                       Liveness probe failed: Get "https://172.16.0.96:10258/healthz": dial tcp 172.16.0.96:10258: connect: connection refused
80m         Normal    SuccessfulCreate    job/descheduler-29035924                             Created pod: descheduler-29035924-56b5c
78m         Normal    Completed           job/descheduler-29035924                             Job completed
78m         Normal    Scheduled           pod/descheduler-29035926-hmpxb                       Successfully assigned kube-system/descheduler-29035926-hmpxb to k8s-control-1
77m         Normal    Pulled              pod/descheduler-29035926-hmpxb                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
77m         Normal    Created             pod/descheduler-29035926-hmpxb                       Created container: descheduler
77m         Normal    Started             pod/descheduler-29035926-hmpxb                       Started container descheduler
78m         Normal    SuccessfulCreate    job/descheduler-29035926                             Created pod: descheduler-29035926-hmpxb
77m         Normal    Completed           job/descheduler-29035926                             Job completed
76m         Normal    Scheduled           pod/descheduler-29035928-nwsgg                       Successfully assigned kube-system/descheduler-29035928-nwsgg to k8s-control-1
75m         Normal    Pulled              pod/descheduler-29035928-nwsgg                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
75m         Normal    Created             pod/descheduler-29035928-nwsgg                       Created container: descheduler
75m         Normal    Started             pod/descheduler-29035928-nwsgg                       Started container descheduler
76m         Normal    SuccessfulCreate    job/descheduler-29035928                             Created pod: descheduler-29035928-nwsgg
75m         Normal    Completed           job/descheduler-29035928                             Job completed
74m         Normal    Scheduled           pod/descheduler-29035930-t9dgx                       Successfully assigned kube-system/descheduler-29035930-t9dgx to k8s-control-1
74m         Normal    Pulled              pod/descheduler-29035930-t9dgx                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
74m         Normal    Created             pod/descheduler-29035930-t9dgx                       Created container: descheduler
74m         Normal    Started             pod/descheduler-29035930-t9dgx                       Started container descheduler
74m         Normal    SuccessfulCreate    job/descheduler-29035930                             Created pod: descheduler-29035930-t9dgx
74m         Normal    Completed           job/descheduler-29035930                             Job completed
72m         Normal    Scheduled           pod/descheduler-29035932-75bk4                       Successfully assigned kube-system/descheduler-29035932-75bk4 to k8s-control-1
72m         Normal    Pulled              pod/descheduler-29035932-75bk4                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
72m         Normal    Created             pod/descheduler-29035932-75bk4                       Created container: descheduler
72m         Normal    Started             pod/descheduler-29035932-75bk4                       Started container descheduler
72m         Normal    SuccessfulCreate    job/descheduler-29035932                             Created pod: descheduler-29035932-75bk4
72m         Normal    Completed           job/descheduler-29035932                             Job completed
70m         Normal    Scheduled           pod/descheduler-29035934-cjktg                       Successfully assigned kube-system/descheduler-29035934-cjktg to k8s-control-1
70m         Normal    Pulled              pod/descheduler-29035934-cjktg                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
70m         Normal    Created             pod/descheduler-29035934-cjktg                       Created container: descheduler
70m         Normal    Started             pod/descheduler-29035934-cjktg                       Started container descheduler
70m         Normal    SuccessfulCreate    job/descheduler-29035934                             Created pod: descheduler-29035934-cjktg
70m         Normal    Completed           job/descheduler-29035934                             Job completed
68m         Normal    Scheduled           pod/descheduler-29035936-crd9v                       Successfully assigned kube-system/descheduler-29035936-crd9v to k8s-control-1
68m         Normal    Pulled              pod/descheduler-29035936-crd9v                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
68m         Normal    Created             pod/descheduler-29035936-crd9v                       Created container: descheduler
68m         Normal    Started             pod/descheduler-29035936-crd9v                       Started container descheduler
68m         Normal    SuccessfulCreate    job/descheduler-29035936                             Created pod: descheduler-29035936-crd9v
68m         Normal    Completed           job/descheduler-29035936                             Job completed
66m         Normal    Scheduled           pod/descheduler-29035938-5t8zw                       Successfully assigned kube-system/descheduler-29035938-5t8zw to k8s-control-1
66m         Normal    Pulled              pod/descheduler-29035938-5t8zw                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
66m         Normal    Created             pod/descheduler-29035938-5t8zw                       Created container: descheduler
66m         Normal    Started             pod/descheduler-29035938-5t8zw                       Started container descheduler
66m         Normal    SuccessfulCreate    job/descheduler-29035938                             Created pod: descheduler-29035938-5t8zw
66m         Normal    Completed           job/descheduler-29035938                             Job completed
64m         Normal    Scheduled           pod/descheduler-29035940-x8sj8                       Successfully assigned kube-system/descheduler-29035940-x8sj8 to k8s-control-1
64m         Normal    Pulled              pod/descheduler-29035940-x8sj8                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
64m         Normal    Created             pod/descheduler-29035940-x8sj8                       Created container: descheduler
64m         Normal    Started             pod/descheduler-29035940-x8sj8                       Started container descheduler
64m         Normal    SuccessfulCreate    job/descheduler-29035940                             Created pod: descheduler-29035940-x8sj8
64m         Normal    Completed           job/descheduler-29035940                             Job completed
62m         Normal    Scheduled           pod/descheduler-29035942-4b6p9                       Successfully assigned kube-system/descheduler-29035942-4b6p9 to k8s-control-1
62m         Normal    Pulled              pod/descheduler-29035942-4b6p9                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
62m         Normal    Created             pod/descheduler-29035942-4b6p9                       Created container: descheduler
62m         Normal    Started             pod/descheduler-29035942-4b6p9                       Started container descheduler
62m         Normal    SuccessfulCreate    job/descheduler-29035942                             Created pod: descheduler-29035942-4b6p9
62m         Normal    Completed           job/descheduler-29035942                             Job completed
60m         Normal    Scheduled           pod/descheduler-29035944-9n4dz                       Successfully assigned kube-system/descheduler-29035944-9n4dz to k8s-control-1
60m         Normal    Pulled              pod/descheduler-29035944-9n4dz                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
60m         Normal    Created             pod/descheduler-29035944-9n4dz                       Created container: descheduler
60m         Normal    Started             pod/descheduler-29035944-9n4dz                       Started container descheduler
60m         Normal    SuccessfulCreate    job/descheduler-29035944                             Created pod: descheduler-29035944-9n4dz
60m         Normal    Completed           job/descheduler-29035944                             Job completed
58m         Normal    Scheduled           pod/descheduler-29035946-jrjbw                       Successfully assigned kube-system/descheduler-29035946-jrjbw to k8s-control-1
58m         Normal    Pulled              pod/descheduler-29035946-jrjbw                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
58m         Normal    Created             pod/descheduler-29035946-jrjbw                       Created container: descheduler
58m         Normal    Started             pod/descheduler-29035946-jrjbw                       Started container descheduler
58m         Normal    SuccessfulCreate    job/descheduler-29035946                             Created pod: descheduler-29035946-jrjbw
58m         Normal    Completed           job/descheduler-29035946                             Job completed
56m         Normal    Scheduled           pod/descheduler-29035948-rvf9v                       Successfully assigned kube-system/descheduler-29035948-rvf9v to k8s-control-1
56m         Normal    Pulled              pod/descheduler-29035948-rvf9v                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
56m         Normal    Created             pod/descheduler-29035948-rvf9v                       Created container: descheduler
56m         Normal    Started             pod/descheduler-29035948-rvf9v                       Started container descheduler
56m         Normal    SuccessfulCreate    job/descheduler-29035948                             Created pod: descheduler-29035948-rvf9v
56m         Normal    Completed           job/descheduler-29035948                             Job completed
54m         Normal    Scheduled           pod/descheduler-29035950-x7g66                       Successfully assigned kube-system/descheduler-29035950-x7g66 to k8s-control-1
54m         Normal    Pulled              pod/descheduler-29035950-x7g66                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
54m         Normal    Created             pod/descheduler-29035950-x7g66                       Created container: descheduler
54m         Normal    Started             pod/descheduler-29035950-x7g66                       Started container descheduler
54m         Normal    SuccessfulCreate    job/descheduler-29035950                             Created pod: descheduler-29035950-x7g66
53m         Normal    Completed           job/descheduler-29035950                             Job completed
52m         Normal    Scheduled           pod/descheduler-29035952-wg77d                       Successfully assigned kube-system/descheduler-29035952-wg77d to k8s-control-1
52m         Normal    Pulled              pod/descheduler-29035952-wg77d                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
52m         Normal    Created             pod/descheduler-29035952-wg77d                       Created container: descheduler
52m         Normal    Started             pod/descheduler-29035952-wg77d                       Started container descheduler
52m         Normal    SuccessfulCreate    job/descheduler-29035952                             Created pod: descheduler-29035952-wg77d
52m         Normal    Completed           job/descheduler-29035952                             Job completed
50m         Normal    Scheduled           pod/descheduler-29035954-5cbzk                       Successfully assigned kube-system/descheduler-29035954-5cbzk to k8s-control-1
50m         Normal    Pulled              pod/descheduler-29035954-5cbzk                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
50m         Normal    Created             pod/descheduler-29035954-5cbzk                       Created container: descheduler
50m         Normal    Started             pod/descheduler-29035954-5cbzk                       Started container descheduler
50m         Normal    SuccessfulCreate    job/descheduler-29035954                             Created pod: descheduler-29035954-5cbzk
50m         Normal    Completed           job/descheduler-29035954                             Job completed
48m         Normal    Scheduled           pod/descheduler-29035956-266gh                       Successfully assigned kube-system/descheduler-29035956-266gh to k8s-control-1
48m         Normal    Pulled              pod/descheduler-29035956-266gh                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
48m         Normal    Created             pod/descheduler-29035956-266gh                       Created container: descheduler
48m         Normal    Started             pod/descheduler-29035956-266gh                       Started container descheduler
48m         Normal    SuccessfulCreate    job/descheduler-29035956                             Created pod: descheduler-29035956-266gh
47m         Normal    Completed           job/descheduler-29035956                             Job completed
46m         Normal    Scheduled           pod/descheduler-29035958-q784v                       Successfully assigned kube-system/descheduler-29035958-q784v to k8s-control-1
46m         Normal    Pulled              pod/descheduler-29035958-q784v                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
46m         Normal    Created             pod/descheduler-29035958-q784v                       Created container: descheduler
46m         Normal    Started             pod/descheduler-29035958-q784v                       Started container descheduler
46m         Normal    SuccessfulCreate    job/descheduler-29035958                             Created pod: descheduler-29035958-q784v
45m         Normal    Completed           job/descheduler-29035958                             Job completed
44m         Normal    Scheduled           pod/descheduler-29035960-tg5bf                       Successfully assigned kube-system/descheduler-29035960-tg5bf to k8s-control-1
44m         Normal    Pulled              pod/descheduler-29035960-tg5bf                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
44m         Normal    Created             pod/descheduler-29035960-tg5bf                       Created container: descheduler
44m         Normal    Started             pod/descheduler-29035960-tg5bf                       Started container descheduler
44m         Normal    SuccessfulCreate    job/descheduler-29035960                             Created pod: descheduler-29035960-tg5bf
44m         Normal    Completed           job/descheduler-29035960                             Job completed
42m         Normal    Scheduled           pod/descheduler-29035962-x9lmt                       Successfully assigned kube-system/descheduler-29035962-x9lmt to k8s-control-1
42m         Normal    Pulled              pod/descheduler-29035962-x9lmt                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
42m         Normal    Created             pod/descheduler-29035962-x9lmt                       Created container: descheduler
42m         Normal    Started             pod/descheduler-29035962-x9lmt                       Started container descheduler
41m         Warning   Unhealthy           pod/descheduler-29035962-x9lmt                       Liveness probe failed: Get "https://172.16.0.236:10258/healthz": dial tcp 172.16.0.236:10258: connect: connection refused
42m         Normal    SuccessfulCreate    job/descheduler-29035962                             Created pod: descheduler-29035962-x9lmt
41m         Normal    Completed           job/descheduler-29035962                             Job completed
40m         Normal    Scheduled           pod/descheduler-29035964-6s75q                       Successfully assigned kube-system/descheduler-29035964-6s75q to k8s-control-1
40m         Normal    Pulled              pod/descheduler-29035964-6s75q                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
40m         Normal    Created             pod/descheduler-29035964-6s75q                       Created container: descheduler
40m         Normal    Started             pod/descheduler-29035964-6s75q                       Started container descheduler
40m         Normal    SuccessfulCreate    job/descheduler-29035964                             Created pod: descheduler-29035964-6s75q
39m         Normal    Completed           job/descheduler-29035964                             Job completed
38m         Normal    Scheduled           pod/descheduler-29035966-2bzd5                       Successfully assigned kube-system/descheduler-29035966-2bzd5 to k8s-control-1
38m         Normal    Pulled              pod/descheduler-29035966-2bzd5                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
38m         Normal    Created             pod/descheduler-29035966-2bzd5                       Created container: descheduler
38m         Normal    Started             pod/descheduler-29035966-2bzd5                       Started container descheduler
38m         Normal    SuccessfulCreate    job/descheduler-29035966                             Created pod: descheduler-29035966-2bzd5
38m         Normal    Completed           job/descheduler-29035966                             Job completed
36m         Normal    Scheduled           pod/descheduler-29035968-gbc4t                       Successfully assigned kube-system/descheduler-29035968-gbc4t to k8s-control-1
36m         Normal    Pulled              pod/descheduler-29035968-gbc4t                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
36m         Normal    Created             pod/descheduler-29035968-gbc4t                       Created container: descheduler
36m         Normal    Started             pod/descheduler-29035968-gbc4t                       Started container descheduler
36m         Normal    SuccessfulCreate    job/descheduler-29035968                             Created pod: descheduler-29035968-gbc4t
36m         Normal    Completed           job/descheduler-29035968                             Job completed
34m         Normal    Scheduled           pod/descheduler-29035970-qpk5l                       Successfully assigned kube-system/descheduler-29035970-qpk5l to k8s-control-1
34m         Normal    Pulled              pod/descheduler-29035970-qpk5l                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
34m         Normal    Created             pod/descheduler-29035970-qpk5l                       Created container: descheduler
34m         Normal    Started             pod/descheduler-29035970-qpk5l                       Started container descheduler
34m         Normal    SuccessfulCreate    job/descheduler-29035970                             Created pod: descheduler-29035970-qpk5l
33m         Normal    Completed           job/descheduler-29035970                             Job completed
32m         Normal    Scheduled           pod/descheduler-29035972-dbqjb                       Successfully assigned kube-system/descheduler-29035972-dbqjb to k8s-control-1
32m         Normal    Pulled              pod/descheduler-29035972-dbqjb                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
32m         Normal    Created             pod/descheduler-29035972-dbqjb                       Created container: descheduler
32m         Normal    Started             pod/descheduler-29035972-dbqjb                       Started container descheduler
32m         Normal    SuccessfulCreate    job/descheduler-29035972                             Created pod: descheduler-29035972-dbqjb
32m         Normal    Completed           job/descheduler-29035972                             Job completed
30m         Normal    Scheduled           pod/descheduler-29035974-nvg8d                       Successfully assigned kube-system/descheduler-29035974-nvg8d to k8s-control-1
30m         Normal    Pulled              pod/descheduler-29035974-nvg8d                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
30m         Normal    Created             pod/descheduler-29035974-nvg8d                       Created container: descheduler
30m         Normal    Started             pod/descheduler-29035974-nvg8d                       Started container descheduler
30m         Normal    SuccessfulCreate    job/descheduler-29035974                             Created pod: descheduler-29035974-nvg8d
30m         Normal    Completed           job/descheduler-29035974                             Job completed
26m         Warning   FailedScheduling    pod/descheduler-29035976-kq5kg                       0/1 nodes are available: 1 node(s) had untolerated taint {node.cilium.io/agent-not-ready: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
25m         Normal    Scheduled           pod/descheduler-29035976-kq5kg                       Successfully assigned kube-system/descheduler-29035976-kq5kg to k8s-control-1
24m         Normal    Pulled              pod/descheduler-29035976-kq5kg                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
24m         Normal    Created             pod/descheduler-29035976-kq5kg                       Created container: descheduler
24m         Normal    Started             pod/descheduler-29035976-kq5kg                       Started container descheduler
26m         Normal    SuccessfulCreate    job/descheduler-29035976                             Created pod: descheduler-29035976-kq5kg
23m         Normal    Completed           job/descheduler-29035976                             Job completed
23m         Warning   FailedScheduling    pod/descheduler-29035980-jgzjd                       0/1 nodes are available: 1 node(s) were unschedulable. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
14m         Warning   FailedScheduling    pod/descheduler-29035980-jgzjd                       0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/unschedulable: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
14m         Normal    Scheduled           pod/descheduler-29035980-jgzjd                       Successfully assigned kube-system/descheduler-29035980-jgzjd to k8s-control-1
14m         Normal    Pulled              pod/descheduler-29035980-jgzjd                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
14m         Normal    Created             pod/descheduler-29035980-jgzjd                       Created container: descheduler
14m         Normal    Started             pod/descheduler-29035980-jgzjd                       Started container descheduler
23m         Normal    SuccessfulCreate    job/descheduler-29035980                             Created pod: descheduler-29035980-jgzjd
14m         Normal    Completed           job/descheduler-29035980                             Job completed
14m         Normal    Scheduled           pod/descheduler-29035988-498pb                       Successfully assigned kube-system/descheduler-29035988-498pb to k8s-control-1
13m         Normal    Pulled              pod/descheduler-29035988-498pb                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
13m         Normal    Created             pod/descheduler-29035988-498pb                       Created container: descheduler
13m         Normal    Started             pod/descheduler-29035988-498pb                       Started container descheduler
14m         Normal    SuccessfulCreate    job/descheduler-29035988                             Created pod: descheduler-29035988-498pb
13m         Normal    Completed           job/descheduler-29035988                             Job completed
13m         Normal    Scheduled           pod/descheduler-29035990-zzw5m                       Successfully assigned kube-system/descheduler-29035990-zzw5m to k8s-control-1
13m         Normal    Pulled              pod/descheduler-29035990-zzw5m                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
13m         Normal    Created             pod/descheduler-29035990-zzw5m                       Created container: descheduler
13m         Normal    Started             pod/descheduler-29035990-zzw5m                       Started container descheduler
13m         Normal    SuccessfulCreate    job/descheduler-29035990                             Created pod: descheduler-29035990-zzw5m
13m         Normal    Completed           job/descheduler-29035990                             Job completed
12m         Normal    Scheduled           pod/descheduler-29035992-8r256                       Successfully assigned kube-system/descheduler-29035992-8r256 to k8s-control-1
12m         Normal    Pulled              pod/descheduler-29035992-8r256                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
12m         Normal    Created             pod/descheduler-29035992-8r256                       Created container: descheduler
12m         Normal    Started             pod/descheduler-29035992-8r256                       Started container descheduler
12m         Normal    SuccessfulCreate    job/descheduler-29035992                             Created pod: descheduler-29035992-8r256
12m         Normal    Completed           job/descheduler-29035992                             Job completed
10m         Normal    Scheduled           pod/descheduler-29035994-dkwnm                       Successfully assigned kube-system/descheduler-29035994-dkwnm to k8s-control-1
10m         Normal    Pulled              pod/descheduler-29035994-dkwnm                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
10m         Normal    Created             pod/descheduler-29035994-dkwnm                       Created container: descheduler
10m         Normal    Started             pod/descheduler-29035994-dkwnm                       Started container descheduler
10m         Normal    SuccessfulCreate    job/descheduler-29035994                             Created pod: descheduler-29035994-dkwnm
10m         Normal    Completed           job/descheduler-29035994                             Job completed
8m5s        Normal    Scheduled           pod/descheduler-29035996-9xtz9                       Successfully assigned kube-system/descheduler-29035996-9xtz9 to k8s-control-1
8m4s        Normal    Pulled              pod/descheduler-29035996-9xtz9                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
8m4s        Normal    Created             pod/descheduler-29035996-9xtz9                       Created container: descheduler
8m4s        Normal    Started             pod/descheduler-29035996-9xtz9                       Started container descheduler
8m5s        Normal    SuccessfulCreate    job/descheduler-29035996                             Created pod: descheduler-29035996-9xtz9
8m          Normal    Completed           job/descheduler-29035996                             Job completed
6m5s        Normal    Scheduled           pod/descheduler-29035998-b54rx                       Successfully assigned kube-system/descheduler-29035998-b54rx to k8s-control-1
6m4s        Normal    Pulled              pod/descheduler-29035998-b54rx                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
6m4s        Normal    Created             pod/descheduler-29035998-b54rx                       Created container: descheduler
6m3s        Normal    Started             pod/descheduler-29035998-b54rx                       Started container descheduler
6m5s        Normal    SuccessfulCreate    job/descheduler-29035998                             Created pod: descheduler-29035998-b54rx
6m          Normal    Completed           job/descheduler-29035998                             Job completed
4m5s        Normal    Scheduled           pod/descheduler-29036000-v5d24                       Successfully assigned kube-system/descheduler-29036000-v5d24 to k8s-control-1
4m4s        Normal    Pulled              pod/descheduler-29036000-v5d24                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
4m4s        Normal    Created             pod/descheduler-29036000-v5d24                       Created container: descheduler
4m4s        Normal    Started             pod/descheduler-29036000-v5d24                       Started container descheduler
4m5s        Normal    SuccessfulCreate    job/descheduler-29036000                             Created pod: descheduler-29036000-v5d24
4m1s        Normal    Completed           job/descheduler-29036000                             Job completed
2m5s        Normal    Scheduled           pod/descheduler-29036002-mzh4z                       Successfully assigned kube-system/descheduler-29036002-mzh4z to k8s-control-1
2m4s        Normal    Pulled              pod/descheduler-29036002-mzh4z                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
2m4s        Normal    Created             pod/descheduler-29036002-mzh4z                       Created container: descheduler
2m4s        Normal    Started             pod/descheduler-29036002-mzh4z                       Started container descheduler
2m5s        Normal    SuccessfulCreate    job/descheduler-29036002                             Created pod: descheduler-29036002-mzh4z
2m          Normal    Completed           job/descheduler-29036002                             Job completed
5s          Normal    Scheduled           pod/descheduler-29036004-24bmw                       Successfully assigned kube-system/descheduler-29036004-24bmw to k8s-control-1
4s          Normal    Pulled              pod/descheduler-29036004-24bmw                       Container image "registry.k8s.io/descheduler/descheduler:v0.31.0" already present on machine
4s          Normal    Created             pod/descheduler-29036004-24bmw                       Created container: descheduler
4s          Normal    Started             pod/descheduler-29036004-24bmw                       Started container descheduler
5s          Normal    SuccessfulCreate    job/descheduler-29036004                             Created pod: descheduler-29036004-24bmw
0s          Normal    Completed           job/descheduler-29036004                             Job completed
82m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035922
81m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035922, condition: Complete
80m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035924
78m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035924, condition: Complete
78m         Normal    HelmChartCreated    helmrelease/descheduler                              Created HelmChart/flux-system/kube-system-descheduler with SourceRef 'HelmRepository/flux-system/truecharts'
78m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035926
77m         Normal    UpgradeSucceeded    helmrelease/descheduler                              Helm upgrade succeeded for release kube-system/descheduler.v2 with chart descheduler@0.1.0
77m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035926, condition: Complete
76m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035928
75m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035922
75m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035928, condition: Complete
74m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035930
74m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035924
74m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035930, condition: Complete
72m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035932
72m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035926
72m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035932, condition: Complete
70m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035934
70m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035928
70m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035934, condition: Complete
68m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035936
68m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035930
68m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035936, condition: Complete
66m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035938
66m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035932
66m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035938, condition: Complete
64m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035940
64m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035934
64m         Normal    SawCompletedJob     cronjob/descheduler                                  Saw completed job: descheduler-29035940, condition: Complete
62m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035942
62m         Normal    SuccessfulDelete    cronjob/descheduler                                  Deleted job descheduler-29035936
32m         Normal    SuccessfulCreate    cronjob/descheduler                                  (combined from similar events): Created job descheduler-29035972
26m         Normal    SuccessfulCreate    cronjob/descheduler                                  Created job descheduler-29035976
